Carat,Cut,Crown Height (mm),Girdle Diameter (mm),Pavillion Depth (mm),Table %,Total Depth %,Clarity,Color,Price
0.9,Excellent,6.13,6.1,3.85,59.0,63.0,SI1,E,4334
0.78,Ideal,5.9,5.95,3.68,55.0,62.1,VS1,D,4336
1.01,Ideal,6.38,6.45,4.01,57.0,62.5,SI2,I,4336
0.39,Good,4.6,4.63,2.92,56.0,63.3,VS2,J,581
0.39,Ideal,4.66,4.72,2.88,57.0,61.4,VS2,J,581
0.39,Very Good,4.64,4.71,2.93,54.0,62.7,SI2,G,581
0.38,Excellent,4.67,4.72,2.84,58.0,60.5,SI1,I,581
0.39,Excellent,4.65,4.68,2.86,60.0,61.3,VS2,J,581
0.25,Ideal,4.05,4.07,2.51,56.0,61.7,VVS1,G,582
0.25,Ideal,4.03,4.04,2.52,55.0,62.6,VVS1,G,582
0.25,Ideal,4.01,4.05,2.52,56.0,62.6,VVS1,G,582
0.31,Ideal,4.35,4.38,2.71,56.0,62.1,SI1,E,582
0.25,Ideal,4.06,4.07,2.48,57.0,61.1,IF,G,582
0.25,Very Good,4.1,4.14,2.52,55.0,61.2,VVS2,F,583
0.23,Very Good,3.94,3.97,2.43,56.0,61.4,VVS2,F,583
0.23,Very Good,3.95,4.0,2.44,56.0,61.5,VVS2,F,583
0.23,Very Good,3.96,3.99,2.45,57.0,61.6,VVS2,F,583
0.23,Very Good,3.94,3.96,2.44,57.0,61.8,VVS1,F,583
0.23,Very Good,3.93,3.96,2.46,55.0,62.3,VVS1,F,583
0.23,Very Good,3.92,3.94,2.47,54.0,62.8,VVS1,F,583
0.23,Very Good,3.95,3.98,2.47,54.0,62.4,VVS1,E,583
0.23,Very Good,3.93,3.96,2.45,57.0,62.2,VVS1,E,583
0.36,Very Good,4.62,4.66,2.83,55.0,61.0,VS2,H,583
0.27,Ideal,4.21,4.22,2.53,62.0,60.0,VVS2,F,583
0.27,Ideal,4.14,4.16,2.57,54.0,61.9,VS2,F,583
0.27,Ideal,4.18,4.2,2.59,53.0,61.8,VS2,F,583
0.37,Ideal,4.61,4.65,2.84,55.0,61.3,SI1,F,583
0.37,Excellent,4.63,4.6,2.82,60.0,61.1,VS2,J,583
0.37,Excellent,4.68,4.65,2.83,60.0,60.7,VS2,J,583
0.31,Ideal,4.36,4.37,2.7,55.0,61.9,VS1,G,583
0.31,Good,4.28,4.31,2.72,57.0,63.3,VS1,G,583
0.31,Good,4.31,4.32,2.74,55.0,63.5,VS2,F,583
0.31,Ideal,4.35,4.38,2.69,56.0,61.6,VS2,F,583
1.01,Ideal,6.37,6.41,3.99,57.0,62.4,SI2,I,4336
0.74,Good,6.03,6.06,3.53,60.0,58.4,VVS1,F,4336
1.01,Very Good,6.42,6.45,3.9,59.0,60.6,VS2,J,4337
0.91,Ideal,6.19,6.22,3.85,56.0,62.0,SI1,H,4337
1.21,Excellent,6.89,6.85,4.11,61.0,59.9,SI2,I,4337
1.01,Very Good,6.43,6.37,4.04,54.0,63.1,SI2,D,4338
1.01,Good,6.34,6.3,4.02,57.0,63.6,SI2,D,4338
1.01,Excellent,6.5,6.45,3.94,61.0,60.8,SI2,D,4338
1.01,Good,6.66,6.56,3.81,62.0,57.6,SI2,D,4338
1.01,Excellent,6.58,6.52,3.88,59.0,59.2,SI1,G,4338
1.23,Excellent,7.07,7.03,4.09,61.0,58.0,VS2,J,4338
1.01,Excellent,6.39,6.35,3.99,60.0,62.6,SI1,G,4338
1.01,Excellent,6.47,6.42,3.98,57.0,61.8,SI2,D,4338
1.01,Excellent,6.32,6.27,3.96,59.0,63.0,SI1,G,4338
1.01,Excellent,6.4,6.37,4.0,60.0,62.6,SI2,D,4338
1.01,Excellent,6.33,6.29,3.96,59.0,62.8,SI1,G,4338
0.72,Very Good,5.79,5.83,3.53,58.0,60.8,VVS1,E,4339
1.01,Good,6.35,6.42,4.05,55.0,63.4,SI1,F,4339
1.01,Good,6.24,6.29,4.02,58.0,64.2,SI1,F,4339
1.07,Very Good,6.35,6.4,4.12,60.0,64.6,SI2,G,4340
1.0,Excellent,6.35,6.33,3.9,60.0,61.5,SI2,F,4340
1.25,Excellent,6.99,6.95,4.19,60.0,60.1,SI2,I,4340
1.25,Excellent,6.96,6.91,4.24,58.0,61.1,SI2,G,4340
1.02,Very Good,6.42,6.46,4.03,57.0,62.6,SI2,H,4341
0.7,Ideal,5.65,5.69,3.54,55.0,62.4,VVS1,F,4341
1.02,Excellent,6.47,6.45,3.96,58.0,61.3,SI1,G,4341
0.95,Excellent,6.37,6.35,3.82,61.0,60.1,SI2,D,4341
1.08,Ideal,6.54,6.6,4.08,56.0,62.1,SI2,H,4344
1.04,Ideal,6.49,6.54,4.02,57.0,61.7,SI1,I,4344
0.91,Good,6.13,6.19,3.89,58.0,63.1,VS2,E,4345
1.52,Excellent,7.34,7.28,4.56,60.0,62.3,I1,G,4345
1.01,Very Good,6.36,6.4,3.95,58.0,61.9,SI1,J,4346
1.2,Good,6.72,6.67,4.26,60.0,63.6,I1,D,4346
1.03,Ideal,6.58,6.57,3.99,56.0,60.6,SI2,J,4347
1.15,Excellent,6.76,6.66,4.18,55.0,62.3,SI1,J,4347
1.15,Excellent,6.73,6.69,4.2,57.0,62.6,SI2,I,4347
1.15,Ideal,6.73,6.67,4.14,57.0,61.8,SI1,J,4347
1.02,Very Good,6.33,6.38,3.99,59.0,62.8,SI1,H,4348
1.0,Very Good,6.33,6.39,3.96,56.0,62.3,SI2,D,4348
1.13,Very Good,6.73,6.78,4.16,57.0,61.6,VS2,I,4348
1.01,Excellent,6.61,6.55,3.82,60.0,58.1,VS2,H,4348
1.09,Very Good,6.64,6.69,4.06,57.0,60.9,SI2,H,4349
1.13,Excellent,6.74,6.8,4.02,58.0,59.4,SI2,H,4350
0.92,Excellent,6.21,6.27,3.89,58.0,62.3,SI1,D,4350
0.78,Ideal,5.86,5.9,3.66,57.0,62.2,VS1,D,4350
1.01,Ideal,6.48,6.44,4.01,57.0,62.1,SI2,G,4350
0.93,Very Good,6.13,6.16,3.86,59.0,62.8,VS2,H,4351
0.9,Ideal,6.19,6.21,3.82,56.0,61.6,SI1,D,4351
1.01,Very Good,6.48,6.57,3.94,60.0,60.4,SI2,E,4352
0.91,Excellent,6.15,6.11,3.86,59.0,63.0,SI1,D,4352
1.34,Very Good,7.08,7.01,4.3,63.0,61.1,SI2,H,4352
1.18,Very Good,6.74,6.79,4.21,58.0,62.2,SI2,J,4353
1.27,Excellent,6.93,6.88,4.32,56.0,62.4,SI2,G,4353
1.02,Ideal,6.47,6.51,4.02,56.0,61.9,SI2,H,4353
0.9,Good,6.12,6.07,3.95,54.0,64.8,VS1,E,4353
1.02,Very Good,6.28,6.33,4.03,57.9,63.9,VS2,J,4354
1.1,Excellent,6.61,6.59,4.1,58.0,62.1,SI1,H,4354
1.05,Excellent,6.61,6.54,3.97,57.0,60.4,SI2,F,4354
1.08,Ideal,6.67,6.62,4.08,57.0,61.4,SI1,I,4355
0.9,Excellent,6.18,6.08,3.75,61.0,61.2,VS2,H,4355
1.01,Ideal,6.39,6.43,3.98,56.0,62.1,SI2,E,4355
1.01,Excellent,6.39,6.42,4.0,60.0,62.5,SI2,E,4355
1.01,Very Good,6.42,6.5,3.99,56.0,61.8,SI2,E,4355
1.01,Very Good,6.36,6.42,3.99,58.0,62.4,SI2,E,4355
1.01,Very Good,6.56,6.59,3.92,61.0,59.6,SI2,E,4355
1.01,Very Good,6.35,6.38,4.0,57.0,62.8,SI2,E,4355
1.01,Good,6.37,6.39,4.04,58.0,63.3,SI2,E,4355
1.01,Very Good,6.4,6.34,4.04,56.0,63.4,SI2,F,4355
1.01,Excellent,6.44,6.4,4.0,58.0,62.3,SI1,I,4355
0.97,Good,6.16,6.21,3.99,61.0,64.5,VS2,I,4355
0.9,Excellent,6.25,6.22,3.76,61.0,60.3,VVS2,H,4355
0.9,Excellent,6.16,6.13,3.81,58.0,62.0,VVS2,H,4355
1.08,Excellent,6.67,6.61,4.02,60.0,60.5,SI1,I,4355
1.01,Fair,6.31,6.27,4.09,55.0,65.0,VVS2,H,4355
1.01,Excellent,6.47,6.41,3.95,59.0,61.3,SI2,H,4355
0.96,Ideal,6.28,6.24,3.92,57.0,62.6,SI1,G,4355
0.96,Ideal,6.27,6.24,3.94,54.0,63.0,SI1,G,4355
1.01,Good,6.36,6.28,4.02,58.0,63.6,SI1,F,4355
1.01,Excellent,6.48,6.42,3.99,58.0,61.9,SI1,I,4355
1.01,Excellent,6.59,6.53,3.9,55.0,59.5,SI2,G,4355
1.1,Very Good,6.54,6.58,4.11,58.0,62.7,SI1,I,4356
1.02,Good,6.51,6.56,3.87,58.0,59.2,SI2,F,4356
1.01,Ideal,6.41,6.46,3.97,56.0,61.7,SI2,H,4357
1.06,Good,6.47,6.53,4.04,61.0,62.2,SI2,F,4357
0.91,Excellent,6.28,6.21,3.8,56.0,60.8,VS2,G,4357
0.9,Very Good,6.11,6.17,3.83,55.0,62.4,VS1,G,4358
1.02,Ideal,6.5,6.54,3.98,58.0,61.0,SI2,H,4360
0.91,Ideal,6.25,6.28,3.82,57.0,61.0,SI2,G,4360
1.13,Excellent,6.68,6.65,4.15,59.0,62.3,SI2,F,4360
1.1,Good,6.91,6.84,3.92,62.0,57.0,SI2,D,4361
1.1,Very Good,6.76,6.69,3.94,63.0,58.6,SI2,D,4361
1.09,Ideal,6.64,6.61,4.11,54.0,62.0,VS2,J,4361
0.7,Very Good,5.63,5.64,3.57,59.0,63.4,VVS1,D,4362
1.03,Excellent,6.46,6.49,3.99,59.0,61.6,SI1,I,4362
1.08,Very Good,6.65,6.72,4.03,58.0,60.3,SI2,G,4362
1.01,Excellent,6.38,6.41,3.99,58.0,62.4,SI2,G,4362
0.72,Ideal,5.78,5.8,3.53,56.0,61.0,VVS1,F,4362
0.8,Ideal,5.93,5.96,3.7,56.0,62.2,VS1,F,4362
0.9,Good,6.2,6.24,3.8,62.0,61.1,SI1,D,4362
1.07,Excellent,6.67,6.59,4.01,59.0,60.5,SI2,E,4362
0.71,Very Good,5.75,5.79,3.52,56.0,61.0,VVS2,D,4363
1.01,Very Good,6.32,6.38,4.03,55.0,63.5,SI2,E,4363
1.05,Excellent,6.58,6.49,4.03,60.0,61.7,SI2,F,4363
1.02,Ideal,6.42,6.4,4.01,58.0,62.6,SI2,G,4363
0.85,Ideal,6.07,6.1,3.75,57.0,61.6,SI1,E,4363
1.05,Excellent,6.55,6.48,4.09,55.0,62.8,SI2,F,4363
1.05,Excellent,6.55,6.51,4.07,56.0,62.3,SI2,F,4363
1.04,Very Good,6.46,6.53,4.05,54.0,62.4,SI2,F,4364
1.05,Ideal,6.56,6.59,4.03,56.0,61.3,SI2,J,4364
0.96,Excellent,6.41,6.39,3.76,62.0,58.7,SI1,E,4365
0.84,Excellent,6.15,6.06,3.7,57.0,60.6,VS1,D,4365
1.07,Excellent,6.55,6.58,4.05,58.0,61.7,SI2,F,4366
1.07,Excellent,6.51,6.57,4.04,58.0,61.8,SI2,F,4366
1.02,Ideal,6.4,6.51,4.0,55.0,62.0,SI2,G,4366
0.94,Ideal,6.34,6.36,3.87,57.0,60.9,SI2,E,4366
1.2,Ideal,6.8,6.77,4.22,57.0,62.2,SI1,I,4368
1.5,Fair,6.85,6.81,4.87,58.0,71.3,I1,I,4368
1.2,Fair,6.55,6.47,4.31,59.0,66.2,SI1,I,4368
1.04,Ideal,6.54,6.5,4.03,55.0,61.8,SI2,H,4368
1.04,Excellent,6.59,6.55,3.97,59.0,60.4,SI1,H,4368
1.2,Ideal,6.9,6.81,4.19,57.0,61.1,SI2,H,4368
1.02,Good,6.4,6.44,3.94,61.0,61.4,SI2,F,4368
1.04,Excellent,6.5,6.47,4.02,57.0,62.0,SI1,I,4368
1.04,Excellent,6.51,6.47,4.01,60.0,61.8,SI1,I,4368
1.04,Excellent,6.54,6.51,4.01,59.0,61.5,SI2,H,4368
1.2,Excellent,6.74,6.69,4.2,58.0,62.5,SI2,H,4368
1.3,Excellent,7.06,7.0,4.27,59.0,60.7,SI2,H,4368
1.2,Fair,6.61,6.56,4.27,58.0,64.8,SI2,H,4368
1.0,Excellent,6.38,6.33,3.93,59.0,61.8,SI2,G,4368
1.04,Excellent,6.67,6.63,3.9,60.0,58.6,SI2,H,4368
1.0,Fair,6.22,6.17,4.05,61.0,65.4,VS1,H,4368
1.04,Ideal,6.66,6.6,4.05,56.0,61.1,SI2,H,4368
1.0,Fair,6.52,6.47,3.73,68.0,57.4,VS1,H,4368
0.51,Fair,5.21,5.11,3.13,66.0,60.7,VVS2,F,4368
0.9,Very Good,6.1,6.15,3.83,58.0,62.5,VS2,G,4369
1.01,Very Good,6.34,6.44,4.0,58.0,62.6,SI1,H,4369
0.7,Ideal,5.69,5.72,3.54,53.4,62.0,VVS2,D,4369
0.9,Ideal,6.17,6.22,3.87,53.0,62.5,VS2,H,4369
1.01,Good,6.11,6.25,4.05,58.0,65.5,SI1,F,4369
0.91,Very Good,6.17,6.2,3.84,59.0,62.1,VS1,H,4370
0.9,Good,6.08,6.1,3.8,58.0,62.4,VS2,F,4370
0.9,Good,6.13,6.16,3.88,57.0,63.1,VS2,F,4370
1.02,Excellent,6.4,6.38,4.02,59.0,62.9,SI2,G,4370
1.02,Very Good,6.41,6.34,4.02,60.0,63.1,SI2,G,4370
1.04,Excellent,6.45,6.41,4.04,59.0,62.8,SI2,E,4370
1.02,Ideal,6.44,6.42,4.03,57.0,62.7,SI2,G,4370
1.02,Excellent,6.42,6.37,4.0,59.0,62.5,SI2,G,4370
1.13,Ideal,6.67,6.71,4.14,56.0,61.9,SI2,J,4371
1.01,Excellent,6.42,6.36,3.9,56.0,61.0,SI2,E,4371
1.09,Very Good,6.56,6.63,4.11,59.0,62.3,VS2,J,4372
1.06,Very Good,6.49,6.57,4.1,57.0,62.8,SI2,H,4372
1.06,Excellent,6.5,6.52,4.03,59.0,61.9,SI1,I,4372
1.0,Very Good,6.36,6.39,3.91,61.0,61.3,SI2,F,4372
1.0,Very Good,6.33,6.36,3.91,61.0,61.6,SI2,F,4372
1.06,Excellent,6.5,6.54,4.07,58.0,62.4,SI2,F,4372
1.0,Ideal,6.39,6.48,3.94,57.0,61.2,SI2,F,4372
1.0,Ideal,6.43,6.46,3.95,56.0,61.3,SI2,F,4372
1.0,Excellent,6.39,6.47,3.96,59.0,61.6,VS2,I,4372
1.0,Good,6.29,6.33,4.04,57.0,64.0,SI1,F,4372
1.0,Very Good,6.35,6.38,3.89,61.0,61.1,SI2,F,4372
0.73,Ideal,5.79,5.82,3.56,56.0,61.3,VVS2,D,4372
0.84,Ideal,6.04,6.15,3.74,56.0,61.4,VS1,G,4372
0.93,Excellent,6.18,6.22,3.86,58.0,62.3,SI1,F,4373
1.12,Excellent,6.66,6.69,4.08,59.0,61.1,SI1,I,4373
1.12,Very Good,6.58,6.63,4.13,58.0,62.5,SI2,H,4373
1.02,Very Good,6.53,6.57,3.93,57.0,60.0,SI2,F,4373
0.85,Ideal,6.09,6.11,3.77,55.0,61.8,VS1,G,4373
0.85,Ideal,6.03,6.09,3.75,56.0,61.9,SI1,D,4373
1.32,Excellent,7.21,7.14,4.25,61.0,59.2,SI2,G,4373
1.03,Very Good,6.46,6.49,4.03,56.0,62.2,SI2,G,4374
1.07,Ideal,6.53,6.58,4.06,55.0,61.9,SI2,F,4374
0.93,Ideal,6.24,6.27,3.89,55.0,62.2,SI1,E,4374
1.05,Excellent,6.64,6.61,3.99,61.0,60.2,SI2,I,4374
1.07,Ideal,6.59,6.56,4.06,57.0,61.7,SI2,E,4374
1.07,Excellent,6.66,6.63,4.03,60.0,60.6,VS2,H,4374
1.04,Ideal,6.51,6.61,3.98,57.0,60.7,SI2,G,4375
1.04,Ideal,6.48,6.54,4.0,57.0,61.4,SI2,G,4375
1.04,Very Good,6.42,6.49,4.04,58.0,62.6,SI2,G,4375
1.01,Very Good,6.41,6.53,3.88,62.0,60.0,SI1,I,4375
1.24,Excellent,6.88,6.79,4.28,58.0,62.8,SI2,I,4375
1.24,Fair,6.7,6.63,4.32,60.0,64.9,SI2,F,4375
1.02,Ideal,6.56,6.52,3.95,57.0,60.5,SI2,H,4375
0.93,Good,6.14,6.09,3.9,58.0,63.8,SI1,G,4375
1.11,Ideal,6.62,6.66,4.11,57.0,61.9,SI2,I,4377
0.76,Ideal,5.84,5.87,3.61,56.0,61.7,VS1,D,4377
1.21,Ideal,6.84,6.8,4.23,56.0,62.0,I1,F,4377
0.83,Ideal,6.03,6.04,3.74,54.9,62.0,VS2,D,4378
1.01,Ideal,6.27,6.21,4.0,58.0,64.1,VS2,I,4378
0.92,Excellent,6.19,6.25,3.81,58.0,61.3,SI1,E,4379
1.0,Very Good,6.4,6.34,3.95,57.0,62.0,SI2,H,4379
0.9,Very Good,6.18,6.23,3.81,58.0,61.4,SI1,F,4379
0.71,Ideal,5.71,5.74,3.53,56.0,61.7,VS1,D,4380
1.02,Excellent,6.47,6.42,3.99,58.0,61.9,SI1,G,4381
0.9,Very Good,6.09,6.13,3.85,57.0,63.0,VS2,H,4381
0.9,Good,6.11,6.15,3.89,57.0,63.5,SI1,D,4381
0.9,Very Good,6.1,6.13,3.73,63.0,61.0,SI1,D,4381
0.9,Good,6.07,6.12,3.86,57.0,63.3,SI1,D,4381
0.9,Excellent,6.09,6.15,3.84,58.0,62.7,SI1,D,4381
0.9,Very Good,6.19,6.24,3.69,62.0,59.4,SI1,D,4381
0.9,Very Good,6.15,6.21,3.8,58.0,61.5,SI1,D,4381
0.9,Very Good,6.11,6.15,3.84,58.0,62.6,SI1,D,4381
0.9,Good,6.1,6.14,3.87,55.0,63.2,SI1,D,4381
0.9,Very Good,6.12,6.16,3.85,56.0,62.7,SI1,D,4381
0.9,Very Good,6.14,6.19,3.77,60.0,61.2,SI1,D,4381
0.9,Good,6.04,6.09,3.9,59.0,64.3,VVS1,H,4381
1.02,Excellent,6.59,6.5,3.93,62.0,60.0,SI2,D,4381
1.02,Fair,6.27,6.24,4.1,60.0,65.5,SI2,D,4381
1.02,Excellent,6.39,6.31,3.87,61.0,60.9,SI2,D,4381
1.02,Excellent,6.51,6.33,3.95,58.0,61.5,SI2,D,4381
1.02,Excellent,6.41,6.37,3.97,57.0,62.1,SI2,D,4381
0.9,Very Good,6.1,6.17,3.88,54.0,63.2,SI1,E,4382
0.9,Good,6.05,6.02,3.86,55.0,64.0,VVS1,G,4382
1.03,Ideal,6.46,6.5,4.05,54.0,62.5,SI2,H,4382
0.9,Good,6.14,6.23,3.85,63.0,62.2,SI2,D,4382
0.76,Ideal,5.9,5.87,3.64,54.0,61.8,VVS1,E,4382
1.0,Very Good,6.39,6.44,3.99,55.0,62.2,SI2,F,4383
1.09,Ideal,6.72,6.77,4.05,59.0,60.0,SI2,H,4383
1.01,Ideal,6.48,6.54,3.97,56.0,61.0,SI2,G,4383
0.74,Ideal,5.79,5.84,3.6,55.0,61.9,IF,F,4383
1.01,Very Good,6.31,6.37,3.95,59.0,62.3,SI2,F,4384
1.03,Excellent,6.61,6.53,3.99,60.0,60.7,SI1,H,4384
1.03,Ideal,6.55,6.52,3.99,57.0,61.1,SI2,H,4384
0.9,Excellent,6.24,6.19,3.78,59.0,60.8,SI1,E,4385
1.13,Very Good,6.62,6.55,4.18,59.0,63.5,SI1,J,4385
0.9,Excellent,6.33,6.3,3.73,62.0,59.1,SI1,E,4385
0.9,Excellent,6.45,6.34,3.71,61.0,58.0,VS2,E,4385
1.13,Ideal,6.7,6.59,4.13,57.0,61.7,SI2,I,4385
0.9,Excellent,6.25,6.19,3.83,57.0,61.6,SI1,E,4385
0.9,Excellent,6.34,6.3,3.78,55.0,59.8,SI1,E,4385
0.9,Excellent,6.16,6.21,3.82,60.0,61.8,VS2,G,4386
0.9,Very Good,6.13,6.16,3.78,60.0,61.5,VS2,G,4386
0.91,Ideal,6.17,6.21,3.83,56.0,61.9,SI1,H,4386
1.0,Good,6.38,6.41,3.85,65.0,60.2,SI2,F,4386
1.2,Excellent,6.69,6.65,4.19,62.0,62.8,SI2,G,4387
1.44,Excellent,7.21,7.18,4.51,55.0,62.7,I1,I,4387
0.93,Excellent,6.45,6.37,3.74,60.0,58.3,VS2,H,4387
0.8,Ideal,5.97,6.0,3.65,57.0,61.1,VS1,G,4388
0.96,Excellent,6.53,6.44,3.83,58.0,59.1,SI2,D,4388
1.0,Good,6.24,6.3,3.93,60.0,62.7,SI1,H,4389
1.0,Very Good,6.34,6.45,3.98,60.0,62.2,SI1,H,4389
1.0,Good,6.34,6.37,4.03,56.0,63.4,SI1,H,4389
1.0,Excellent,6.52,6.56,3.86,60.0,59.0,SI1,H,4389
1.0,Good,6.28,6.31,4.02,56.0,63.9,SI1,H,4389
1.0,Good,6.32,6.36,3.88,62.0,61.2,SI1,H,4389
0.91,Very Good,6.13,6.18,3.91,56.0,63.5,SI1,D,4389
1.0,Ideal,6.56,6.61,3.84,61.0,58.3,SI2,H,4390
1.1,Ideal,6.65,6.68,4.1,55.0,61.5,SI1,J,4390
0.9,Ideal,6.16,6.21,3.85,55.0,62.2,SI1,F,4390
1.0,Very Good,6.29,6.25,3.97,55.0,63.3,SI2,E,4390
1.12,Excellent,6.77,6.73,4.09,60.0,60.6,SI1,I,4390
1.0,Excellent,6.38,6.35,3.96,59.0,62.2,SI2,E,4390
1.0,Excellent,6.44,6.39,3.89,61.0,60.6,SI2,E,4390
1.13,Very Good,6.6,6.64,4.16,57.7,62.9,SI1,J,4391
1.03,Ideal,6.48,6.52,4.01,55.0,61.7,SI2,G,4391
1.08,Good,6.72,6.77,3.91,61.0,58.0,SI2,F,4391
1.21,Excellent,6.77,6.72,4.23,57.0,62.7,SI1,J,4391
1.21,Excellent,6.86,6.76,4.21,60.0,61.8,SI2,I,4391
0.91,Ideal,6.2,6.26,3.8,57.0,61.0,SI1,E,4392
1.0,Very Good,6.38,6.41,4.0,55.0,62.5,SI2,E,4392
1.0,Good,6.37,6.44,3.91,61.0,61.0,SI2,E,4394
1.09,Excellent,6.63,6.58,4.04,62.0,61.2,SI2,H,4395
1.16,Good,6.55,6.63,4.2,63.0,63.7,SI2,F,4395
1.0,Very Good,6.31,6.35,4.03,58.0,63.7,SI2,H,4395
1.03,Ideal,6.49,6.53,4.02,56.0,61.7,SI1,J,4395
0.9,Good,6.16,6.24,3.78,62.0,61.0,VS1,G,4395
1.01,Excellent,6.59,6.51,3.85,58.0,58.8,SI1,G,4395
1.01,Excellent,6.31,6.25,3.91,60.0,62.3,SI1,G,4395
0.9,Very Good,6.27,6.31,3.75,59.0,59.6,VS2,F,4397
1.02,Ideal,6.45,6.49,3.95,58.0,61.1,VS2,J,4397
1.02,Ideal,6.5,6.54,3.96,57.0,60.7,VS2,J,4397
1.01,Good,6.51,6.58,3.88,62.0,59.3,SI2,G,4397
1.02,Fair,6.65,6.5,3.92,57.0,59.6,SI2,H,4398
1.02,Very Good,6.54,6.58,3.97,58.0,60.5,SI2,E,4398
1.02,Good,6.32,6.42,4.03,59.0,63.3,SI2,E,4398
1.02,Very Good,6.4,6.43,4.03,55.0,62.8,SI2,E,4398
1.02,Very Good,6.36,6.43,4.02,56.0,62.9,SI2,E,4398
1.02,Very Good,6.39,6.44,4.04,57.0,63.0,SI2,E,4398
1.02,Ideal,6.44,6.47,4.03,55.0,62.4,SI2,E,4398
1.02,Very Good,6.54,6.59,3.91,59.0,59.6,SI2,E,4398
1.05,Very Good,6.47,6.51,4.08,57.0,62.9,SI2,E,4398
1.04,Fair,6.39,6.34,4.13,56.0,64.9,SI2,D,4398
1.02,Ideal,6.55,6.52,4.01,54.0,61.4,SI2,G,4398
1.0,Excellent,6.43,6.39,3.96,58.0,61.8,SI2,G,4398
1.02,Excellent,6.43,6.37,4.03,58.0,63.0,SI2,F,4398
1.02,Ideal,6.43,6.4,4.0,57.0,62.4,SI2,F,4398
1.02,Fair,6.08,6.01,4.27,57.0,70.6,SI1,D,4398
1.02,Ideal,6.54,6.51,3.96,57.0,60.7,SI2,H,4398
0.77,Very Good,5.93,5.97,3.58,58.0,60.2,VVS1,F,4399
1.01,Excellent,6.37,6.42,3.99,58.0,62.4,SI1,E,4399
1.01,Good,6.31,6.35,4.06,59.0,64.1,SI1,E,4399
1.01,Good,6.19,6.26,3.99,62.0,64.1,SI1,E,4399
1.01,Very Good,6.47,6.54,3.97,56.0,61.0,SI1,E,4399
1.01,Good,6.47,6.49,3.84,64.0,59.3,SI1,E,4399
1.14,Excellent,6.61,6.56,4.14,58.0,62.8,SI2,F,4399
0.9,Very Good,6.08,6.12,3.89,58.0,63.8,VS2,G,4400
0.9,Very Good,6.28,6.3,3.7,61.0,58.8,VS2,G,4400
0.9,Very Good,6.07,6.11,3.86,58.0,63.4,VS2,F,4400
1.0,Good,6.35,6.41,4.05,54.0,63.5,SI2,E,4400
0.97,Excellent,6.24,6.18,3.89,58.0,62.6,SI1,G,4400
0.31,Very Good,4.36,4.4,2.66,61.0,60.7,VS2,F,583
0.31,Good,4.26,4.31,2.73,59.0,63.7,VS2,F,583
0.31,Ideal,4.38,4.41,2.67,57.0,60.8,VS2,F,583
0.31,Ideal,4.35,4.39,2.69,56.0,61.6,VS2,F,583
0.31,Excellent,4.37,4.45,2.62,58.0,59.4,VS2,F,583
0.31,Very Good,4.27,4.33,2.71,57.0,63.0,VS2,F,583
0.31,Good,4.28,4.33,2.74,54.0,63.6,VS2,F,583
0.31,Very Good,4.42,4.45,2.58,61.0,58.2,VS1,G,583
0.31,Ideal,4.32,4.34,2.68,57.0,61.9,VS2,F,583
0.31,Very Good,4.44,4.48,2.6,61.0,58.3,VS2,F,583
0.31,Ideal,4.36,4.39,2.72,56.0,62.2,VS2,F,583
0.35,Ideal,4.5,4.52,2.82,54.0,62.5,SI1,F,583
0.35,Excellent,4.54,4.6,2.75,58.0,60.2,SI1,F,583
0.35,Ideal,4.52,4.55,2.83,55.0,62.4,SI1,F,583
0.35,Ideal,4.48,4.52,2.8,56.0,62.2,SI1,F,583
0.35,Good,4.51,4.52,2.87,54.0,63.6,SI1,F,583
0.35,Good,4.46,4.51,2.83,56.0,63.1,SI1,F,583
0.35,Excellent,4.49,4.53,2.81,58.0,62.3,SI1,F,583
0.35,Very Good,4.51,4.54,2.79,58.0,61.7,SI1,F,583
0.26,Very Good,4.13,4.15,2.52,58.0,60.9,VVS2,E,584
0.32,Very Good,4.47,4.49,2.68,57.0,59.9,SI1,E,584
0.32,Very Good,4.36,4.38,2.72,55.0,62.3,SI1,E,584
0.5,Fair,4.89,4.8,3.38,55.0,69.8,I1,F,584
0.34,Ideal,4.5,4.53,2.8,55.0,62.0,SI1,D,584
0.37,Good,4.59,4.63,2.91,55.0,63.1,VS2,H,584
0.37,Very Good,4.64,4.67,2.77,61.0,59.5,VS2,H,584
0.37,Good,4.54,4.56,2.9,55.0,63.7,VS2,H,584
0.37,Excellent,4.55,4.61,2.81,59.0,61.4,VS1,I,584
0.34,Excellent,4.43,4.47,2.76,58.0,62.0,SI1,D,584
0.3,Very Good,4.26,4.31,2.64,61.0,61.6,VS2,E,585
1.07,Excellent,6.54,6.5,4.04,59.0,62.0,SI2,G,4401
0.9,Ideal,6.21,6.25,3.78,57.0,60.7,SI1,F,4401
0.9,Very Good,6.14,6.16,3.87,54.0,62.9,SI1,G,4401
1.06,Ideal,6.65,6.63,3.99,59.0,60.1,SI2,H,4401
1.03,Ideal,6.37,6.46,4.06,57.0,63.3,SI1,I,4401
1.07,Excellent,6.58,6.51,4.12,59.0,62.9,SI2,G,4401
0.9,Good,6.14,6.09,3.91,60.0,63.9,VS1,G,4401
1.07,Ideal,6.58,6.55,4.07,57.0,62.0,SI2,G,4401
